date,bist100_close,return_bist,return_bist_lag1,abs_return_bist,real_return_bist,goldstein_a1,event_count_a1,event_count_a1_c,tone_a1,source_count_a1,mentions_a1,articles_a1,goldstein_a2,event_count_a2,event_count_a2_c,tone_a2,source_count_a2,mentions_a2,articles_a2,vix_close,return_vix,usdtry_close,return_usdtry,cpi_daily_interp,daily_inflation_log
2020-02-21,1168.2939453125,0.01021545418558128,-0.030270835898551746,0.01021545418558128,0.010019171528827562,0.4806856796116505,3522,1687.3706377858002,-3.687574695828923,3733,16480,16231,0.1516010176331257,2465,1149.384476534296,-3.8106398032297832,2610,11399,11277,17.079999923706055,0.09320463817566582,6.102399826049805,0.0031840824790058306,14.129850448275862,0.0001962826567537184
2020-02-24,1147.8919677734375,-0.01761732950858478,0.01021545418558128,0.01761732950858478,-0.01781349665271362,0.07229153426765235,6075,4240.3706377858,-3.575602701997075,6351,29897,29185,0.1350494473531123,4415,3099.384476534296,-3.6658971247260346,4618,20628,20252,25.030000686645508,0.3821669489830182,6.109189987182617,0.0011120848204801703,14.13816996551724,0.00019616714412884126
2020-02-25,1143.64501953125,-0.0037066415494791897,-0.01761732950858478,0.0037066415494791897,-0.0039027702196067515,-0.053845050215208,2973,1138.3706377858002,-3.0889761875914035,3164,13940,13655,0.47738974703380344,2003,687.384476534296,-2.915238800707115,2121,8934,8828,27.850000381469727,0.1067578471940069,6.115200042724609,0.000983289311209377,14.140943137931034,0.00019612867012756198
2020-02-26,1151.7130126953125,0.007029863120922676,-0.0037066415494791897,0.007029863120922676,0.006833772909707573,0.3470807642536348,2754,919.3706377858002,-3.094196595828765,2987,13137,12927,0.5786534898085239,1703,387.384476534296,-2.89188995410896,1800,8095,8012,27.559999465942383,-0.010467553303130208,6.147299766540527,0.0052354410007540144,14.143716310344828,0.00019609021121510305
2020-02-27,1104.1839599609375,-0.04214384594071913,0.007029863120922676,0.04214384594071913,-0.04233989770810149,-0.1556768174617143,3429,1594.3706377858002,-3.687783600309337,3781,17043,16754,-0.5483834646935821,2614,1298.384476534296,-3.812934113280365,2895,12434,12252,39.15999984741211,0.3512903869983254,6.160099983215332,0.0020800854039606234,14.146489482758621,0.0001960517673823642
2020-02-28,1059.93701171875,-0.04089708092147521,-0.04214384594071913,0.04089708092147521,-0.04109309426009612,-0.2248472406714165,8539,6704.3706377858,-4.712272164887975,9280,41405,40947,-0.6075407549472583,7091,5775.3844765342965,-4.7212089932072026,7893,34413,33882,40.11000061035156,0.02396988123311851,6.206769943237305,0.0075476142065473905,14.149262655172414,0.00019601333862091113
2020-03-02,1073.0989990234375,0.012341239709344616,-0.04089708092147521,0.012341239709344616,0.012065648121525127,-0.26701876286730303,16997,15162.3706377858,-4.428199502680141,18567,85488,84448,-0.3812707498568975,12610,11294.384476534296,-4.35320460559403,13631,61145,60584,33.41999816894531,-0.18247122662084647,6.249269962310791,0.006824028233977221,14.158710483870967,0.00027559158781949045
2020-03-03,1112.072998046875,0.0356751162385414,0.012341239709344616,0.0356751162385414,0.03539960058051979,-0.1558583384364156,5921,4086.3706377858,-4.142276375664269,6388,29394,29041,0.19967764540995087,4479,3163.384476534296,-4.043015692070617,4812,21405,21112,36.81999969482422,0.09688669913855864,6.171299934387207,-0.012555148883204125,14.162611967741936,0.0002755156580216161
2020-03-04,1107.85400390625,-0.0038010251837180117,0.0356751162385414,0.0038010251837180117,-0.004076464953769436,0.042930621539911194,5232,3397.3706377858,-4.286560843113471,5569,25469,25173,-0.10167813474580471,4238,2922.384476534296,-4.104844105587052,4515,20201,19992,31.989999771118164,-0.1406178207099828,6.112199783325195,-0.009622763620099605,14.166513451612904,0.0002754397700514241
2020-03-05,1118.1510009765625,0.009251614882260294,-0.0038010251837180117,0.009251614882260294,0.008976250958385112,0.4733689630450366,6245,4410.3706377858,-3.893184353254164,6915,30686,30227,0.5698085820557015,4595,3279.384476534296,-3.7368944546075915,5124,22046,21761,39.619998931884766,0.21391066750477977,6.079800128936768,-0.005314916484784902,14.17041493548387,0.0002753639238751826
