date,weighted_goldstein,event_count,avg_tone,source_count,total_mentions,total_articles
2022-05-11,0.5693811693242217,899,-0.9676269864808177,947,5268,5114
2022-05-12,0.29292327004550456,988,-1.4500062488581325,1054,6373,6131
2022-05-13,0.1438827098078868,1937,-1.9010241437460218,2098,9890,9650
2022-05-14,0.5765585168018541,1730,-1.4783160708458438,1818,8630,8455
2022-05-15,0.8876048360745016,1725,-0.8621835259718229,1802,9181,9071
2022-05-16,0.5781728847435043,2548,-1.4049640435842499,2740,12008,11839
2022-05-17,0.5116585505585791,2978,-1.7100207380421015,3196,13964,13579
2022-05-18,0.26504205019535126,3016,-1.3645079618742952,3300,15101,14826
2022-05-19,0.20401819560272938,2391,-1.442610688296367,2500,11871,11703
2022-05-20,0.6594314699355384,1918,-1.6244013349965873,2034,9463,9322
2022-05-21,0.7640814458933882,1695,-1.6855909119436856,1817,8742,8627
2022-05-22,0.44506702816689236,1305,-2.0449949502757305,1338,6639,6507
2022-05-23,0.5451044033322516,1807,-1.9025560022195025,1952,9243,8968
2022-05-24,0.7011097314915409,2753,-1.5731645609667888,2953,12886,12535
2022-05-25,0.5596729580214774,2578,-1.5546517922800251,2733,12292,12105
2022-05-26,0.556597326901819,2056,-1.7351060283780686,2123,9951,9759
2022-05-27,0.030770829004778764,1682,-1.7497223994794007,1822,9626,9237
2022-05-28,0.4411754994221562,1210,-1.3259584871545456,1293,6057,5920
2022-05-29,0.9264664356308564,1564,-1.483329296774345,1643,7791,7672
2022-05-30,1.1139538945162415,2432,-1.4904996922566593,2518,11452,11340
2022-05-31,0.9101684870036404,2380,-1.42944890168795,2485,11811,11495
2022-06-01,0.7364555197351225,2229,-1.4976322294763729,2341,11477,11303
2022-06-02,0.5690146303652746,1980,-1.5044941933910285,2047,10321,9888
2022-06-03,0.8295472492761253,1396,-1.7838679743681032,1479,7598,7408
2022-06-04,0.9243600905450113,1058,-1.5107861824416629,1141,5743,5632
2022-06-05,0.5981296758104738,846,-1.8416304345161942,923,4812,4715
2022-06-06,0.9714583023636092,1291,-1.9125111406427455,1348,6727,6589
2022-06-07,1.460218839200761,2038,-1.8452912671737436,2143,10510,10373
2022-06-08,1.5236307449536457,3010,-1.7537842242727575,3281,15209,14987
2022-06-09,0.5252077562326872,1800,-1.855862605150991,1896,9025,8860
2022-06-10,0.3123032311516156,1347,-1.9299655990468807,1453,7242,7084
2022-06-11,0.5540018570102135,1012,-1.773952528682571,1092,5385,5254
2022-06-12,0.6318242565987303,1078,-2.0993804300051067,1122,5986,5858
2022-06-13,0.2220029998846198,1632,-2.385289317462095,1683,8667,8404
2022-06-14,0.3447762942141017,1558,-2.1967599756460627,1651,8538,8321
2022-06-15,0.30765060857113635,1872,-1.8165199813691544,1954,9777,9440
2022-06-16,0.7058480307651506,1498,-1.795261946065781,1538,7541,7402
2022-06-17,0.1608824358612912,1226,-1.3584271855031664,1319,7094,6903
2022-06-18,0.617274678111588,790,-0.8655239079360808,809,4660,4540
2022-06-19,0.38910750507099384,905,-1.9225207691978932,938,4930,4809
2022-06-20,0.4326888832358179,1456,-2.0274896551418653,1536,7862,7633
2022-06-21,0.888126204238921,1549,-1.6697716333980337,1626,8304,8150
2022-06-22,1.1785339717282262,1835,-0.9552826826240858,1929,8772,8627
2022-06-23,0.40663064833005885,2061,-1.4589626402905373,2162,10180,9928
2022-06-24,0.4171559783500083,1137,-2.07301191000763,1182,6097,5900
2022-06-25,0.4356291118421052,951,-1.9134424251403652,995,4864,4786
2022-06-26,0.18369854597583452,903,-1.7840700442538613,963,4883,4776
2022-06-27,0.8314806429703415,1845,-1.596311486712305,1956,8834,8625
2022-06-28,1.6692763157894743,3497,-1.100058263642302,3752,16720,16375
2022-06-29,1.3508460825220223,3497,-0.6957672750237378,3710,17256,16979
2022-06-30,1.15904181184669,2216,-0.8402739359646781,2366,11480,11253
2022-07-01,0.9231388114138597,1842,-1.4047071908462891,1932,9322,9219
2022-07-02,0.606751389992057,978,-1.4945592667456602,1029,5036,4939
2022-07-03,0.3256108396268325,858,-1.5655049656701947,921,4502,4413
2022-07-04,1.0738382541720153,1488,-1.507319982845963,1531,7790,7688
2022-07-05,0.819445947408289,1777,-1.1154357831871449,1925,9241,9123
2022-07-06,1.0439098291116227,1682,-1.6025732114427607,1768,8251,8098
2022-07-07,0.6682421134767583,1845,-1.7713759723991476,1941,8971,8811
2022-07-08,1.3750835391544385,1325,-1.6862705323761025,1381,6883,6696
2022-07-09,0.631220572256429,513,-1.201621247928064,550,2761,2700
2022-07-10,1.380670975684826,624,-1.1892412108266612,691,3249,3161
2022-07-11,1.5849912739965095,1320,-0.9391756224598946,1388,6303,6162
2022-07-12,2.0025908558030485,1791,-1.2581290096354727,1891,8530,8336
2022-07-13,2.059660394676457,1851,-1.6592063201954028,1940,8716,8555
2022-07-14,1.2923119090037,1434,-1.3054949817716082,1477,7297,7028
2022-07-15,0.46854031266467594,986,-1.7702924439121877,1050,5693,5532
2022-07-16,0.7098010316875459,797,-1.4635087634935375,843,4071,3985
2022-07-17,0.2868383060635226,806,-2.028935286996842,858,4156,4107
2022-07-18,1.1182895540623092,1826,-1.992538184163253,1891,8185,8031
2022-07-19,1.6640948346097453,2924,-1.70954318235087,3061,12274,12096
2022-07-20,0.47663150955833866,2744,-2.4286584102696254,2821,12136,11937
2022-07-21,0.35133826619165054,2234,-3.0468757449384527,2306,10947,10727
2022-07-22,2.468960364335018,2827,-1.3069717957509535,2991,14053,13820
2022-07-23,1.4095722373663246,1901,-1.873320970886799,1990,9538,9362
2022-07-24,1.3903181941800382,1473,-2.397696224416348,1572,7354,7242
2022-07-25,1.5091444216290213,1445,-1.9564894066071445,1488,7305,7110
2022-07-26,1.4058021294413203,1707,-1.7154360433609994,1777,8359,8207
2022-07-27,0.9883193445243803,1967,-2.2223296779281743,2030,10008,9727
2022-07-28,1.758548769826402,1515,-1.4856863561476616,1570,8007,7832
2022-07-29,1.1944163150492264,1426,-2.224253923598213,1517,7110,6955
2022-07-30,0.7254679916801476,857,-2.739202643010433,900,4327,4166
2022-07-31,1.5023270987385817,876,-1.8166198526397277,904,4598,4483
2022-08-01,2.07805292203198,1329,-1.1864775579062565,1378,7067,6800
2022-08-02,1.3555112881806108,1233,-1.306775098782929,1295,6777,6570
2022-08-03,0.9523248969982341,1309,-1.7311227709852113,1353,6796,6541
2022-08-04,1.4689678172419542,1168,-0.8924173292882213,1211,5997,5862
2022-08-05,1.9272049806622022,2276,-1.053718913727118,2381,10601,10473
2022-08-06,1.9561802701115678,1376,-1.5913621986326605,1467,6812,6712
2022-08-07,1.672254464285714,889,-1.3593085780334206,945,4480,4412
2022-08-08,1.457378193494346,1379,-1.8456739444500967,1451,7163,7063
2022-08-09,1.0798664537668747,1379,-1.7008488108849331,1399,6889,6742
2022-08-10,1.1363433476394849,1084,-1.5606720566819194,1113,5825,5735
2022-08-11,0.7607532605802501,1352,-2.1095032766842485,1433,7514,7347
2022-08-12,1.1630111524163567,1161,-1.7330264042557757,1208,6456,6308
2022-08-13,1.0169137974365419,714,-1.8464712884428434,734,3979,3841
2022-08-14,1.153990178023327,654,-1.8994010550019296,670,3258,3181
2022-08-15,0.7118785151856017,779,-1.3569944638939229,803,4445,4298
2022-08-16,0.32502793296089366,1521,-2.105053763693176,1619,8055,7842
2022-08-17,0.721741203394679,2163,-1.3842718337223447,2227,10487,10264
2022-08-18,2.186044808903208,2887,-1.0993681469696877,3014,13658,13480
