role,timing,tau,term,estimate_raw,std_error_raw,statistic,p_value,conf_low_raw,conf_high_raw,estimate,std_error,conf_low,conf_high,return_unit,inference
Actor1,reaction,0.55,return_usdtry,0.08168207342711428,0.075157122871892,1.0868174606197245,0.27728336577819146,-0.06562588740179404,0.2289900342560226,8.168207342711428,7.515712287189199,-6.562588740179404,22.89900342560226,percent,bootstrap_xy_R500
Actor1,reaction,0.55,return_bist_lag1,0.030592792419234956,0.027435483111158798,1.1150812360505507,0.2649852941071238,-0.023180754478636285,0.0843663393171062,3.0592792419234955,2.74354831111588,-2.3180754478636283,8.43663393171062,percent,bootstrap_xy_R500
Actor1,reaction,0.55,goldstein_a1:event_count_c,6.409453926164649e-7,9.150088781841986e-7,0.7004799711762332,0.4837308080387932,-1.1524720086245643e-6,2.4343627938574938e-6,6.409453926164649e-5,9.150088781841986e-5,-1.1524720086245643e-4,2.4343627938574938e-4,percent,bootstrap_xy_R500
Actor1,reaction,0.6000000000000001,(Intercept),0.004412390462932174,7.891832091023405e-4,5.591085076367836,2.6544024311903058e-8,0.0028655913730915865,0.005959189552772762,0.4412390462932174,0.07891832091023405,0.28655913730915866,0.5959189552772761,percent,bootstrap_xy_R500
Actor1,reaction,0.6000000000000001,goldstein_a1,5.758150138404598e-4,8.217702624389935e-4,0.7007007191175978,0.4835930441661067,-0.0010348547005399672,0.002186484728220887,0.05758150138404598,0.08217702624389935,-0.10348547005399672,0.2186484728220887,percent,bootstrap_xy_R500
Actor1,reaction,0.6000000000000001,event_count_c,3.99577140903067e-7,8.31866834979766e-7,0.4803378667125084,0.6310537042078403,-1.2308818556572744e-6,2.0300361374634085e-6,3.99577140903067e-5,8.31866834979766e-5,-1.2308818556572743e-4,2.0300361374634085e-4,percent,bootstrap_xy_R500
Actor1,reaction,0.6000000000000001,return_vix,-0.029673365541097136,0.006081794392233901,-4.879047798621457,1.173628265238591e-6,-0.04159368254987558,-0.01775304853231869,-2.9673365541097136,0.6081794392233901,-4.159368254987558,-1.775304853231869,percent,bootstrap_xy_R500
Actor1,reaction,0.6000000000000001,return_usdtry,0.0693110599680491,0.07511567584290521,0.9227243074135987,0.35629186509584,-0.07791566468404512,0.2165377846201433,6.931105996804909,7.511567584290521,-7.791566468404512,21.65377846201433,percent,bootstrap_xy_R500
Actor1,reaction,0.6000000000000001,return_bist_lag1,0.015634668114900635,0.02997506106908283,0.521589199730662,0.6020295344719848,-0.04311645158050171,0.07438578781030297,1.5634668114900636,2.997506106908283,-4.311645158050171,7.438578781030297,percent,bootstrap_xy_R500
Actor1,reaction,0.6000000000000001,goldstein_a1:event_count_c,7.972959953799712e-7,8.33569684437341e-7,0.9564839152207718,0.33897422228576435,-8.365005861172171e-7,2.4310925768771594e-6,7.972959953799712e-5,8.33569684437341e-5,-8.365005861172172e-5,2.4310925768771595e-4,percent,bootstrap_xy_R500
