term,estimate,std_error,statistic,p_value,hac_lag,role,timing,model,outcome,N,event_count_sample_mean,centered_mean_check,estimate_reported,std_error_reported,return_unit
goldstein:role_dummy,-7.480444236495608e-5,8.147412776182578e-4,-0.09181373820120263,0.9268518446534795,NA,Pooled,prediction,pooled_interaction_HAC,abs_return_bist,3170,1557.3356466876971,1.519930343520187e-14,-0.007480444236495608,0.08147412776182578,percent
Actor1_(Intercept),0.011363037445704107,4.380951374397582e-4,25.93737404188062,2.5242662239531365e-148,NA,SUR,reaction,SUR,abs_return_bist,1585,NA,NA,1.1363037445704107,0.04380951374397582,percent
Actor1_goldstein_a1,1.1905349550798067e-5,3.2162107899800925e-5,0.3701669550978578,0.7112580965594113,NA,SUR,reaction,SUR,abs_return_bist,1585,NA,NA,0.0011905349550798067,0.0032162107899800924,percent
Actor1_event_a1_c,7.212014402753537e-8,5.2095670654008736e-8,1.3843788384358913,0.16624248511400483,NA,SUR,reaction,SUR,abs_return_bist,1585,NA,NA,7.212014402753537e-6,5.209567065400874e-6,percent
Actor1_return_vix,0.010648235247158626,0.003856917783434048,2.7608146828781646,0.0057657382372848535,NA,SUR,reaction,SUR,abs_return_bist,1585,NA,NA,1.0648235247158626,0.38569177834340485,percent
Actor1_return_usdtry,0.010137992714662689,0.029729458234140835,0.3410083236236165,0.7330973155735474,NA,SUR,reaction,SUR,abs_return_bist,1585,NA,NA,1.013799271466269,2.9729458234140838,percent
Actor1_abs_return_bist_lag1,0.08995251908985095,0.024695614462395928,3.6424491168997584,2.7005637119715214e-4,NA,SUR,reaction,SUR,abs_return_bist,1585,NA,NA,8.995251908985095,2.469561446239593,percent
Actor2_(Intercept),0.01136714981864316,4.384375289204297e-4,25.926498232559236,3.348121254585712e-148,NA,SUR,reaction,SUR,abs_return_bist,1585,NA,NA,1.136714981864316,0.043843752892042974,percent
Actor2_goldstein_a2,3.87796509095479e-6,2.6763730847122707e-5,0.1448962819535939,0.8847927620282137,NA,SUR,reaction,SUR,abs_return_bist,1585,NA,NA,3.8779650909547903e-4,0.0026763730847122707,percent
Actor2_event_a2_c,9.573880951276896e-8,6.74425320072245e-8,1.4195613163294838,0.15573543404922416,NA,SUR,reaction,SUR,abs_return_bist,1585,NA,NA,9.573880951276896e-6,6.74425320072245e-6,percent
Actor2_return_vix,0.010655264473932873,0.003852969697366196,2.7654680184006053,0.005684117845516257,NA,SUR,reaction,SUR,abs_return_bist,1585,NA,NA,1.0655264473932873,0.3852969697366196,percent
Actor2_return_usdtry,0.010127069453971084,0.029699528269404273,0.3409841854088889,0.7331154872779755,NA,SUR,reaction,SUR,abs_return_bist,1585,NA,NA,1.0127069453971083,2.9699528269404274,percent
Actor2_abs_return_bist_lag1,0.0898928972358232,0.024670827918081627,3.643691956115478,2.687550478558533e-4,NA,SUR,reaction,SUR,abs_return_bist,1585,NA,NA,8.989289723582319,2.4670827918081626,percent
Actor1_(Intercept),0.011370454801011414,4.436575513751057e-4,25.62889950992374,7.268607964966504e-145,NA,SUR,prediction,SUR,abs_return_bist,1585,NA,NA,1.1370454801011414,0.04436575513751057,percent
Actor1_goldstein_a1_lag1,3.6368129971084825e-7,1.8942985467148845e-5,0.01919873191802574,0.9846825692000345,NA,SUR,prediction,SUR,abs_return_bist,1585,NA,NA,3.6368129971084826e-05,0.0018942985467148845,percent
Actor1_event_a1_c,-1.850279457464562e-9,3.107037781663658e-8,-0.05955123778616664,0.9525130560044874,NA,SUR,prediction,SUR,abs_return_bist,1585,NA,NA,-1.850279457464562e-7,3.1070377816636577e-6,percent
Actor1_return_vix,0.010711017259475066,0.00390921483705381,2.7399408080491816,0.006145025018551025,NA,SUR,prediction,SUR,abs_return_bist,1585,NA,NA,1.0711017259475066,0.39092148370538105,percent
Actor1_return_usdtry,0.010128224325499565,0.030134427069661098,0.3361014397946365,0.7367943727202686,NA,SUR,prediction,SUR,abs_return_bist,1585,NA,NA,1.0128224325499564,3.0134427069661096,percent
Actor1_abs_return_bist_lag1,0.090010975381599,0.02503720206165156,3.5950892260227856,3.2428041762563853e-4,NA,SUR,prediction,SUR,abs_return_bist,1585,NA,NA,9.0010975381599,2.503720206165156,percent
Actor2_(Intercept),0.011369961893915216,4.439033867924314e-4,25.613595733235066,1.0764591150775946e-144,NA,SUR,prediction,SUR,abs_return_bist,1585,NA,NA,1.1369961893915215,0.04439033867924314,percent
Actor2_goldstein_a2_lag1,5.690407321049182e-7,1.5783115212139563e-5,0.03605376533444052,0.9712394882559984,NA,SUR,prediction,SUR,abs_return_bist,1585,NA,NA,5.6904073210491817e-5,0.0015783115212139563,percent
Actor2_event_a2_c,-2.384060659460731e-9,4.0304201282015434e-8,-0.05915166616946576,0.9528313069976956,NA,SUR,prediction,SUR,abs_return_bist,1585,NA,NA,-2.384060659460731e-7,4.030420128201544e-6,percent
Actor2_return_vix,0.010710923806148517,0.003908740708086213,2.7402492531649076,0.0061392606696612706,NA,SUR,prediction,SUR,abs_return_bist,1585,NA,NA,1.0710923806148516,0.3908740708086213,percent
Actor2_return_usdtry,0.010128877865658395,0.03013082164176541,0.3361633474879555,0.7367476906287249,NA,SUR,prediction,SUR,abs_return_bist,1585,NA,NA,1.0128877865658394,3.013082164176541,percent
Actor2_abs_return_bist_lag1,0.09001129871841271,0.025034552900106078,3.5954825747270007,3.2379080223930153e-4,NA,SUR,prediction,SUR,abs_return_bist,1585,NA,NA,9.00112987184127,2.5034552900106077,percent
