role,timing,tau,event_count_percentile,event_count_raw,event_count_centered,marginal_effect_raw,std_error_raw,conf_low_raw,conf_high_raw,N,event_count_sample_mean,centered_mean_check,marginal_effect,std_error,conf_low,conf_high,return_unit,inference
Actor1,reaction,0.8500000000000001,0.25,1107.25,-706.3565573770493,0.0025190914758178935,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.25190914758178934,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.8500000000000001,0.5,1412.5,-401.1065573770493,0.002594118121870638,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.2594118121870638,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.8500000000000001,0.75,2139,325.3934426229507,0.0027726827684138606,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.27726827684138605,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.8500000000000001,0.9,3174,1360.3934426229507,0.0030270728705091613,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.30270728705091615,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.9000000000000001,0.1,937.5,-876.1065573770493,0.0014493800753914493,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.14493800753914493,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.9000000000000001,0.25,1107.25,-706.3565573770493,0.0015653147546720446,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.15653147546720447,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.9000000000000001,0.5,1412.5,-401.1065573770493,0.001773792285454971,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.1773792285454971,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.9000000000000001,0.75,2139,325.3934426229507,0.002269972223583705,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.22699722235837047,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.9000000000000001,0.9,3174,1360.3934426229507,0.0029768493549852735,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.29768493549852737,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.95,0.1,937.5,-876.1065573770493,0.001571082804341296,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.15710828043412958,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.95,0.25,1107.25,-706.3565573770493,0.0016941613321408864,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.16941613321408863,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.95,0.5,1412.5,-401.1065573770493,0.001915485164899797,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.1915485164899797,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.95,0.75,2139,325.3934426229507,0.0024422395121540094,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.24422395121540094,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.95,0.9,3174,1360.3934426229507,0.003192674129370954,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.3192674129370954,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,prediction,0.05,0.1,937.4000000000001,-876.6946372239747,-2.2641939587561436e-4,NA,NA,NA,1585,1814.0946372239748,-6.240588137383848e-14,-0.022641939587561437,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,prediction,0.05,0.25,1108,-706.0946372239748,-5.983032825360407e-5,NA,NA,NA,1585,1814.0946372239748,-6.240588137383848e-14,-0.005983032825360407,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,prediction,0.05,0.5,1413,-401.0946372239748,2.3799889580684825e-4,NA,NA,NA,1585,1814.0946372239748,-6.240588137383848e-14,0.023799889580684824,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,prediction,0.05,0.75,2139,324.9053627760252,9.469300979966463e-4,NA,NA,NA,1585,1814.0946372239748,-6.240588137383848e-14,0.09469300979966463,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,prediction,0.05,0.9,3174.800000000001,1360.7053627760263,0.001958377672691128,NA,NA,NA,1585,1814.0946372239748,-6.240588137383848e-14,0.19583776726911278,NA,NA,NA,percent,bootstrap_xy_R500
